モデル,容量,超美品,美品,良品,並品,リペア品,美品減額,良品減額,並品減額,リペア品減額,90%~,80%~89%,~79%,◯,△,✕,破損有り,染み有り,履歴有り
17,256,115000,108000,97000,86000,43000,"7,000","18,000","29,000","72,000",0,"10,800","21,600",0,"21,600","43,200","10,800","21,600","21,600"
17,512,142000,132000,118000,106000,53000,"10,000","24,000","36,000","89,000",0,"13,200","26,400",0,"26,400","52,800","13,200","26,400","26,400"
17Pro,256,157000,152000,136000,122000,61000,"5,000","21,000","35,000","96,000",0,"15,200","30,400",0,"30,400","60,800","15,200","30,400","30,400"
17Pro,512,187000,177000,159000,142000,71000,"10,000","28,000","45,000","116,000",0,"17,700","35,400",0,"35,400","70,800","17,700","35,400","35,400"
17Pro,1024,218000,203000,182000,162000,81000,"15,000","36,000","56,000","137,000",0,"20,300","40,600",0,"40,600","81,200","20,300","40,600","40,600"
17ProMax,256,172000,166000,149000,133000,66000,"6,000","23,000","39,000","106,000",0,"16,600","33,200",0,"33,200","66,400","16,600","33,200","33,200"
17ProMax,512,205000,191000,171000,153000,76000,"14,000","34,000","52,000","129,000",0,"19,100","38,200",0,"38,200","76,400","19,100","38,200","38,200"
17ProMax,1024,233000,221000,198000,177000,88000,"12,000","35,000","56,000","145,000",0,"22,100","44,200",0,"44,200","88,400","22,100","44,200","44,200"
17ProMax,2048,281000,256000,230000,205000,102000,"25,000","51,000","76,000","179,000",0,"25,600","51,200",0,"51,200","102,400","25,600","51,200","51,200"
Air,256,126000,116000,104000,93000,46000,"10,000","22,000","33,000","80,000",0,"11,600","23,200",0,"23,200","46,400","11,600","23,200","23,200"
Air,512,136000,121000,108000,97000,48000,"15,000","28,000","39,000","88,000",0,"12,100","24,200",0,"24,200","48,400","12,100","24,200","24,200"
Air,1024,146000,141000,126000,113000,56000,"5,000","20,000","33,000","90,000",0,"14,100","28,200",0,"28,200","56,400","14,100","28,200","28,200"